,Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Category
0,spotify:track:1kmmKv3L4kGmoPu8aDFOmk,Kidult,Heng:garæ,SEVENTEEN,2020-06-22,192893,64,False,Blue,2023-11-27T09:57:02Z,k-pop,PLEDIS Entertainment,0.549,0.738,4,-3.646,1,0.0516,0.255,0.0,0.294,0.627,152.002,4,Korean
1,spotify:track:5dyihZecYMcEPq09Bk2OL2,Robin Hood,Robin Hood,Anson Seabra,2018-09-21,221538,60,False,Blue,2023-11-27T10:24:07Z,,Koala Kontrol,0.731,0.153,4,-14.409,1,0.0562,0.952,0.0,0.134,0.324,78.072,4,English Pop/Unknown
2,spotify:track:1TQXIltqoZ5XXyfCbAeSQQ,Dancing With Your Ghost,Dancing With Your Ghost,Sasha Alex Sloan,2019-06-28,197732,79,False,Blue,2023-11-27T10:25:21Z,,RCA Records Label,0.629,0.328,11,-8.284,1,0.029,0.768,2.5e-05,0.103,0.389,74.953,4,English Pop/Unknown
3,spotify:track:5oJmBs9L5xwDkUbDWqn6Wr,This City,"I Love You, Please Don't Hate Me",Sam Fischer,2023-11-30,195745,64,False,Blue,2024-06-25T18:08:50Z,,RCA Records Label,0.608,0.344,11,-7.344,1,0.0398,0.731,0.0,0.0821,0.534,74.114,4,English Pop/Unknown
4,spotify:track:5UY8jf31X2hJkiAualFTyh,Selfish,Life Support,Madison Beer,2021-02-26,223581,62,False,Blue,2023-11-27T10:20:07Z,,Epic/Sing It Loud,0.375,0.461,9,-6.202,1,0.0279,0.627,0.0,0.386,0.233,75.217,4,English Pop/Unknown
5,spotify:track:5OdI6v2L7Aez4cclpbojiZ,stay a little longer,rosie,ROSÉ,2024-12-06,246606,72,False,Blue,2026-03-05T08:08:04Z,k-pop,Atlantic Records,0.566,0.476,9,-6.206,1,0.0272,0.178,0.0,0.169,0.104,76.941,3,Korean
6,spotify:track:6k7PfuTKnfuX1V7Z3vXE0h,never knew a heart could break itself - acoustic,never knew a heart could break itself (acoustic),Zach Hood,2022-05-06,168333,49,False,Blue,2023-11-27T10:00:32Z,,Arista Records,0.502,0.385,9,-7.784,1,0.03,0.803,0.0,0.0927,0.336,76.016,4,English Pop/Unknown
7,spotify:track:3bsRMvQja4huvPWo1S5ONc,if this is the last time,mama's boy,LANY,2020-10-02,203853,62,False,Blue,2024-01-12T19:57:30Z,,Polydor Records,0.566,0.586,11,-7.726,1,0.0372,0.0171,0.0,0.202,0.428,147.942,4,English Pop/Unknown
8,spotify:track:0Eqg0CQ7bK3RQIMPw1A7pl,Malibu Nights,Malibu Nights,LANY,2018-10-05,286928,76,False,Blue,2023-11-27T10:24:58Z,,Polydor Records,0.559,0.422,11,-11.89,1,0.195,0.701,1.99e-06,0.0853,0.191,74.002,4,English Pop/Unknown
9,spotify:track:0j1Ia2lQWrcXrQZI4AdJlk,IDK You Yet,IDK You Yet (Live on Piano),Alexander 23,2020-06-23,184638,70,False,Blue,2024-06-25T18:09:00Z,,Interscope Records,0.648,0.308,1,-11.729,1,0.04,0.886,0.0774,0.124,0.198,76.997,1,English Pop/Unknown
10,spotify:track:5iG5lMF8hwVDHtvAa1WoMQ,A Little Bit Yours (feat. Eric Chou) - Mandarin Version,A Little Bit Yours (feat. Eric Chou) [Mandarin Version],JP Saxe;Eric Chou,2022-04-22,225386,41,False,Blue,2023-11-27T11:10:23Z,"mandopop,c-pop,taiwanese pop,chinese r&b,malay pop",Arista Records,0.337,0.3,1,-8.113,1,0.0346,0.718,0.0,0.101,0.263,83.409,4,Mandarin
11,spotify:track:3bjg5cbmuwDoS7e2dAWyRG,Butterfly,The Most Beautiful Moment in Life Pt.2,BTS,2015-11-30,238861,74,False,Blue,2025-06-13T08:24:29Z,k-pop,BIGHIT MUSIC,0.461,0.776,6,-4.498,1,0.0565,0.0149,0.0,0.12,0.291,149.985,4,Korean
12,spotify:track:5Y47GrCrjQY44qFv8Gt0Gm,你不屬於我 - 《比悲傷更悲傷的故事》影集版片尾曲,你不屬於我 (《比悲傷更悲傷的故事》影集版片尾曲),Eric Chou,2021-10-22,322266,61,False,Blue,2023-11-27T11:10:23Z,"mandopop,c-pop,taiwanese pop,chinese r&b,malay pop",Sony Music Entertainment,0.358,0.391,9,-8.979,1,0.0316,0.856,0.00232,0.0971,0.284,75.168,4,Mandarin
13,spotify:track:0JB2nnrP35zVYnQcYpAnCb,開不了口,范特西,Jay Chou,2001-09-14,284973,1,False,Blue,2026-03-08T05:34:36Z,"mandopop,c-pop,taiwanese pop,gufeng,malay pop,cantopop,chinese r&b",JVR,0.578,0.525,9,-8.081,1,0.0273,0.598,3.33e-06,0.226,0.362,139.95,4,Mandarin
14,spotify:track:5cU1O9P0EDA0rPkPDykhIm,怎麼了,終於了解自由 (Deluxe),Eric Chou,2019-12-24,321040,66,False,Blue,2023-11-27T11:10:23Z,"mandopop,c-pop,taiwanese pop,chinese r&b,malay pop",Sony Music Entertainment,0.502,0.565,9,-7.779,1,0.0358,0.696,5.55e-05,0.156,0.253,139.926,4,Mandarin
15,spotify:track:43tJ0VyZlK0U1eOeAL5puu,最后一页,最后一页,王赫野;姚晓棠,2024-05-22,280416,1,False,Blue,2024-06-30T09:56:38Z,,末未文化传媒,0.443,0.369,4,-9.604,1,0.0322,0.698,0.0,0.177,0.331,137.859,4,English Pop/Unknown
16,spotify:track:35E2IgDaxVDMIywkqKtM9O,勇气 - Live,天赐的声音第六季 第12期 (Live),姚晓棠;Reno Wang,2025-07-04,251626,50,False,Blue,2026-03-05T07:55:51Z,"mandopop,c-pop,gufeng,chinese r&b",浙江卫视,0.314,0.461,4,-6.68,1,0.0311,0.842,0.0,0.169,0.33,139.273,4,Mandarin
17,spotify:track:6kabSi7XCHHGThNme6J2tL,如果雨之後,如果雨之後,Eric Chou,2017-12-15,282478,65,False,Blue,2023-11-27T11:10:23Z,"mandopop,c-pop,taiwanese pop,chinese r&b,malay pop",Sony Music Entertainment,0.315,0.534,6,-5.931,1,0.0332,0.525,0.0,0.171,0.445,136.725,4,Mandarin
18,spotify:track:5JLLWtgBLRxpd4MRkGAm74,受夠,小時候的我們,Eric Chou,2020-01-07,331341,55,False,Blue,2023-11-27T11:10:23Z,"mandopop,c-pop,taiwanese pop,chinese r&b,malay pop",M.Star Entertainment Ltd.,0.431,0.401,11,-7.9,1,0.029,0.86,7.46e-06,0.0982,0.305,139.658,4,Mandarin
19,spotify:track:5HvQMAn35HYVHvXgs7BNIz,像煙火愛過,許我耀眼 影視原聲帶,單依純,2025-10-03,257066,53,False,Blue,2026-03-05T07:57:11Z,"mandopop,c-pop,chinese r&b,gufeng",M.Star Entertainment Ltd.,0.292,0.408,11,-10.115,1,0.0357,0.801,0.0,0.0913,0.136,142.736,4,Mandarin
